,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
41,Dubbo,-32.25,148.6167,71.94,58,0,13.15,AU,1613260800
42,Eilat,29.5581,34.9482,62.24,41,0,6.29,IL,1613260800
43,Cabinda,-5.55,12.2,80.08,81,85,3.76,AO,1613260800
44,Synya,65.3718,58.0387,-22.34,87,22,5.75,RU,1613260800
45,Bluff,-46.6,168.3333,61.47,74,100,7.02,NZ,1613260800
46,Puerto Ayora,-0.7393,-90.3518,79.92,75,67,8.46,EC,1613260800
47,Albany,42.6001,-73.9662,16.7,67,81,2.91,US,1613260800
48,Seybaplaya,19.65,-90.6667,75.87,75,31,7.47,MX,1613260800
49,Alpena,45.0617,-83.4327,17.08,88,95,10.8,US,1613260800
50,Novy Urengoy,66.0833,76.6333,-36.26,83,29,3.85,RU,1613260800
51,Port Hardy,50.6996,-127.4199,34.81,86,94,16.98,CA,1613260800
52,Saskylakh,71.9167,114.0833,-27.33,78,85,3.29,RU,1613260800
53,São Filipe,14.8961,-24.4956,71.35,72,0,12.57,CV,1613260800
54,Sur,22.5667,59.5289,69.06,67,0,5.12,OM,1613260800
55,Yellowknife,62.456,-114.3525,-8.39,84,56,8.19,CA,1613260800
56,Eureka,40.8021,-124.1637,51.46,78,22,8.25,US,1613260800
57,Namtsy,62.7161,129.6658,-11.52,82,69,6.78,RU,1613260800
58,Cape Town,-33.9258,18.4232,68.13,90,14,6.91,ZA,1613260800
59,Necochea,-38.5473,-58.7368,66.83,93,100,5.14,AR,1613260800
60,Avera,33.194,-82.5271,43.54,95,95,10.29,US,1613260800
61,Farafangana,-22.8167,47.8333,76.77,86,100,10.85,MG,1613260800
62,Aklavik,68.2191,-135.0107,-1.93,78,53,2.15,CA,1613260800
63,Chimbarongo,-34.7,-71.05,71.6,58,0,4.81,CL,1613260800
64,Forsytheganj,52.6333,29.7333,11.03,93,95,13.11,BY,1613260800
65,Port Elizabeth,-33.918,25.5701,73.89,88,59,4.74,ZA,1613260800
66,Abu Samrah,35.3029,37.1841,51.04,74,0,1.95,SY,1613260800
67,Hong Kong,22.2855,114.1577,65.57,83,18,6.35,HK,1613260800
68,New Norfolk,-42.7826,147.0587,69.98,45,5,2.15,AU,1613260800
69,Acajutla,13.5928,-89.8275,84.69,53,23,6.87,SV,1613260800
70,Sørland,67.667,12.6934,30.51,89,100,9.51,NO,1613260800
71,Irbeyskoye,55.6428,95.4522,-2.02,92,100,3.11,RU,1613260800
72,Chai Nat,15.1167,100.1,73.85,83,66,6.29,TH,1613260800
73,Cayenne,4.9333,-52.3333,79.52,84,82,15.28,GF,1613260800
74,Sulejówek,52.2522,21.269,23.31,85,75,11.43,PL,1613260800
75,Manturovo,58.3353,44.7619,5.47,95,100,7.56,RU,1613260800
76,Provideniya,64.3833,-173.3,12.02,92,100,16.62,RU,1613260800
77,Marabba,12.35,32.1833,78.26,19,0,10.22,SD,1613260800
78,Irbit,57.6705,63.071,21.69,98,100,7.94,RU,1613260800
79,Nemuro,43.3236,145.575,32.11,93,17,6.06,JP,1613260800
80,Jamestown,42.097,-79.2353,20.88,95,95,3.96,US,1613260800
81,Waterloo,43.4668,-80.5164,12.18,88,95,12.88,CA,1613260800
82,West Plains,36.7281,-91.8524,16.41,78,49,11.27,US,1613260800
83,Barrow,71.2906,-156.7887,-12.5,80,79,10.89,US,1613260800
84,Visnes,59.3556,5.2242,31.44,72,64,13.67,NO,1613260800
85,Castro,-24.7911,-50.0119,68.16,86,50,3.24,BR,1613260800
86,Mar del Plata,-38.0023,-57.5575,68.81,92,92,7.76,AR,1613260800
87,Airai,-8.9266,125.4092,67.23,97,99,1.74,TL,1613260800
88,Pangai,-19.8,-174.35,81.55,79,0,12.15,TO,1613260800
89,Vaini,-21.2,-175.2,83.48,78,43,15.43,TO,1613260800
90,Arraial do Cabo,-22.9661,-42.0278,75.92,95,87,15.88,BR,1613260800
91,Butaritari,3.0707,172.7902,81.45,78,36,12.68,KI,1613260800
92,Baykit,61.67,96.37,-19.28,83,100,1.88,RU,1613260800
93,Kavaratti,10.5669,72.642,80.37,63,59,7.43,IN,1613260800
94,Aksaray,38.3726,34.0254,42.42,65,46,2.89,TR,1613260800
95,Ust-Kuyga,70.0167,135.6,-18.02,87,56,1.66,RU,1613260800
96,Yar-Sale,66.8333,70.8333,-28.48,85,41,2.98,RU,1613260800
97,Dickinson,29.4608,-95.0513,45.37,63,94,8.48,US,1613260800
98,Naze,28.3667,129.4833,66.87,89,57,15.5,JP,1613260800
99,Fortuna,40.5982,-124.1573,51.01,84,66,7.45,US,1613260800
100,Stonewall,50.1344,-97.3268,-17.79,75,59,7.63,CA,1613260800
101,Norman Wells,65.282,-126.8329,-5.28,79,5,6.6,CA,1613260800
102,Brae,60.3964,-1.353,38.14,72,95,31.36,GB,1613260800
103,Mataura,-46.1927,168.8643,66.43,59,100,1.07,NZ,1613260800
104,Hegang,47.4,130.3667,6.13,89,86,6.67,CN,1613260800
105,Saint Paul Harbor,57.79,-152.4072,35.91,85,99,27.29,US,1613260800
106,Puerto Escondido,15.85,-97.0667,81.1,69,20,10.58,MX,1613260800
107,La Ronge,55.1001,-105.2842,-9.94,74,80,4.63,CA,1613260800
108,Klaksvík,62.2266,-6.589,39.34,78,87,40.15,FO,1613260800
109,Tura,25.5198,90.2201,61.75,43,3,2.13,IN,1613260800
110,Tuatapere,-46.1333,167.6833,62.67,76,100,5.06,NZ,1613260800
111,Katiola,8.1333,-5.1,82.54,60,9,4.76,CI,1613260800
112,Mount Isa,-20.7333,139.5,85.77,76,82,4.43,AU,1613260800
113,Englehart,47.8169,-79.8664,-0.53,78,95,4.47,CA,1613260800
114,Usinsk,65.9939,57.5281,-23.26,86,2,6.89,RU,1613260800
115,Chui,-33.6971,-53.4616,72.36,90,12,7.7,UY,1613260800
116,Thompson,55.7435,-97.8558,-13.9,76,68,3.98,CA,1613260800
117,Kahului,20.8947,-156.47,76.17,63,29,11.63,US,1613260800
118,Poopó,-18.3667,-66.9667,58.98,36,54,2.53,BO,1613260800
119,Bethel,41.3712,-73.414,25.52,65,95,4.54,US,1613260800
120,Río Gallegos,-51.6226,-69.2181,54.91,38,57,20.22,AR,1613260800
121,Marzuq,14.4,46.4667,57.61,55,0,1.48,YE,1613260800
122,Filingué,14.3521,3.3168,76.08,16,0,8.01,NE,1613260800
123,Dikson,73.5069,80.5464,-20.45,88,100,11.43,RU,1613260800
124,Chlórakas,34.8042,32.4083,55.78,77,1,3.89,CY,1613260800
125,San Cristobal,7.7669,-72.225,76.6,69,49,1.5,VE,1613260800
126,Tiksi,71.6872,128.8694,-14.33,89,100,8.48,RU,1613260800
127,Qaanaaq,77.484,-69.3632,7.68,76,0,6.15,GL,1613260800
128,Berdigestyakh,62.0989,126.6992,-12.3,88,100,7.34,RU,1613260800
129,Mahébourg,-20.4081,57.7,77.85,85,21,7.47,MU,1613260800
130,Tibagi,-24.5094,-50.4136,72.0,81,18,1.68,BR,1613260800
131,Kawalu,-7.3817,108.2082,74.66,90,90,1.32,ID,1613260800
132,Katsuura,35.1333,140.3,57.83,64,86,11.16,JP,1613260800
133,Oranjestad,12.524,-70.027,79.9,80,12,25.01,AW,1613260800
134,Velyka Bahachka,49.7912,33.7226,6.28,93,99,12.73,UA,1613260800
135,Codrington,-38.2667,141.9667,60.82,70,100,9.26,AU,1613260800
136,Nouadhibou,20.931,-17.0347,64.53,83,0,21.12,MR,1613260800
137,Agüimes,27.9054,-15.4461,61.02,76,19,13.04,ES,1613260800
138,Vila Franca do Campo,37.7167,-25.4333,58.03,77,59,15.93,PT,1613260800
139,Monduli,-3.3,36.45,64.09,87,87,2.44,TZ,1613260800
140,Nortelândia,-14.4547,-56.8028,79.88,82,66,4.41,BR,1613260800
141,Umluj,25.0213,37.2685,75.61,57,0,6.06,SA,1613260800
142,Pescia,43.897,10.6904,30.42,63,0,12.41,IT,1613260800
143,Võhma,58.6283,25.5483,16.83,98,45,3.83,EE,1613260800
144,Władysławowo,54.7909,18.4009,31.84,83,9,16.8,PL,1613260800
145,Hithadhoo,-0.6,73.0833,82.42,75,36,10.02,MV,1613260800
146,Hambantota,6.1241,81.1185,75.76,87,92,6.02,LK,1613260800
147,Kiryat Gat,31.61,34.7642,52.83,82,0,4.32,IL,1613260800
148,Berlevåg,70.8578,29.0864,25.74,88,99,12.46,NO,1613260800
149,Avarua,-21.2078,-159.775,83.07,74,12,10.13,CK,1613260800
150,Pacific Grove,36.6177,-121.9166,54.73,71,46,22.59,US,1613260800
151,Henties Bay,-22.116,14.2845,67.96,88,87,3.58,NA,1613260800
152,Khatanga,71.9667,102.5,-31.49,83,17,7.99,RU,1613260800
153,Quesnel,52.9999,-122.5029,8.49,84,49,2.21,CA,1613260800
154,Souillac,-20.5167,57.5167,76.62,88,29,8.95,MU,1613260800
155,Adrar,20.5022,-10.0711,68.0,20,0,11.5,MR,1613260800
156,Port-Gentil,-0.7193,8.7815,82.53,84,65,11.48,GA,1613260800
157,Pāsighāt,28.0667,95.3333,60.96,44,0,3.67,IN,1613260800
158,Saint-Philippe,-21.3585,55.7679,76.73,74,16,7.45,RE,1613260800
159,Anadyr,64.75,177.4833,9.97,81,95,11.63,RU,1613260800
160,Constitución,-35.3333,-72.4167,60.71,80,50,11.21,CL,1613260800
161,Lebu,-37.6167,-73.65,58.71,77,4,17.09,CL,1613260800
162,Itarema,-2.9248,-39.9167,81.0,80,2,12.3,BR,1613260800
163,Yatou,37.15,122.3833,44.49,82,100,5.66,CN,1613260800
164,Longyearbyen,78.2186,15.6401,4.19,72,65,3.29,SJ,1613260800
165,Kaitangata,-46.2817,169.8464,65.48,58,100,4.94,NZ,1613260800
166,Pisco,-13.7,-76.2167,74.66,67,20,6.49,PE,1613260800
167,Riyadh,24.6877,46.7219,57.92,36,5,4.99,SA,1613260800
168,Mehrān,33.1222,46.1646,60.46,40,0,6.29,IR,1613260800
169,Olafsvik,64.8945,-23.7142,39.47,72,100,23.73,IS,1613260800
170,Ridgecrest,35.6225,-117.6709,59.76,22,24,24.79,US,1613260800
171,Lichinga,-13.3128,35.2406,65.75,89,87,5.68,MZ,1613260800
172,Villa Zempoala,19.45,-96.4167,70.99,76,52,7.27,MX,1613260800
173,Allāpalli,19.4167,80.0667,64.69,53,9,2.86,IN,1613260800
174,Luba,3.4568,8.5547,81.54,79,41,7.99,GQ,1613260800
175,Chapais,49.7834,-74.8492,-2.13,85,95,3.42,CA,1613260800
176,Rāy,23.6833,85.05,58.23,48,0,0.49,IN,1613260800
177,Aranos,-24.1333,19.1167,68.7,79,100,13.09,NA,1613260800
178,Vila Velha,-20.3297,-40.2925,77.54,80,49,12.26,BR,1613260800
179,Vao,-22.6667,167.4833,79.57,75,0,6.73,NC,1613260800
180,Tabou,4.423,-7.3528,79.21,89,17,8.39,CI,1613260800
181,Wau,7.7029,27.9953,78.96,19,100,5.77,SS,1613260800
182,Ishim,56.1128,69.4902,27.23,98,100,9.6,RU,1613260800
183,Haines Junction,60.7522,-137.5108,6.57,65,0,0.92,CA,1613260800
184,Balkhash,46.844,74.9804,14.41,91,18,10.02,KZ,1613260800
185,Korla,41.7597,86.1469,35.53,76,100,7.78,CN,1613260800
186,Calbuco,-41.768,-73.1273,60.17,60,0,8.3,CL,1613260800
187,Pangody,65.85,74.4859,-34.94,82,2,3.49,RU,1613260800
188,Bathsheba,13.2167,-59.5167,78.28,71,13,19.73,BB,1613260800
189,College,64.8569,-147.8028,6.6,82,10,1.03,US,1613260800
190,Baharly,38.4362,57.4316,56.59,38,100,4.54,TM,1613260800
191,Nanyamba,-10.6833,39.8333,75.94,95,87,5.59,TZ,1613260800
192,Nyurba,63.2842,118.3319,-19.89,87,100,5.91,RU,1613260800
193,Margate,51.3813,1.3862,32.97,66,100,25.41,GB,1613260800
194,Te Anau,-45.4167,167.7167,56.3,83,100,1.28,NZ,1613260800
195,Lom Sak,16.7798,101.2422,68.68,55,35,2.8,TH,1613260800
196,Talnakh,69.4865,88.3972,-24.5,84,100,1.88,RU,1613260800
197,Dzaoudzi,-12.7887,45.2699,82.9,80,49,13.38,YT,1613260800
198,San Francisco Ixhuatan,16.3569,-94.4825,82.92,58,13,8.23,MX,1613260800
199,Cherskiy,68.75,161.3,-7.22,83,31,11.56,RU,1613260800
200,Praia da Vitória,38.7333,-27.0667,55.63,72,67,22.41,PT,1613260800
201,Saint-Augustin,51.226,-58.6502,10.42,93,24,9.33,CA,1613260800
202,Upernavik,72.7868,-56.1549,4.37,93,90,2.91,GL,1613260800
203,Coahuayana Viejo,18.7333,-103.6833,72.95,60,20,6.62,MX,1613260800
204,Cookeville,36.1628,-85.5016,33.33,92,95,7.99,US,1613260800
205,Husavik,66.0449,-17.3389,34.72,82,82,15.1,IS,1613260800
206,Santa Marta,11.2408,-74.199,82.72,65,9,14.99,CO,1613260800
207,Banjar,-8.19,114.9675,79.5,85,59,5.14,ID,1613260800
208,Kavieng,-2.5744,150.7967,84.54,70,86,4.65,PG,1613260800
209,North Bend,43.4065,-124.2243,49.3,82,68,14.72,US,1613260800
210,Nagato,34.3833,131.2,57.4,81,45,15.59,JP,1613260800
211,Poum,-20.2333,164.0167,80.64,69,43,5.08,NC,1613260800
212,Mineral Wells,32.8085,-98.1128,28.33,63,79,13.58,US,1613260800
213,Seljord,59.4894,8.634,12.45,76,73,5.39,NO,1613260800
214,Bengkulu,-3.8004,102.2655,77.23,84,97,4.27,ID,1613260800
215,Hay River,60.8156,-115.7999,1.31,76,0,8.93,CA,1613260800
216,Zhangjiakou,40.81,114.8794,31.95,85,50,7.58,CN,1613260800
217,Evensk,61.95,159.2333,-8.23,79,0,7.31,RU,1613260800
218,Atar,20.5169,-13.0499,68.27,19,0,9.53,MR,1613260800
219,Sterling,39.0062,-77.4286,27.01,92,95,5.64,US,1613260800
220,Mount Gambier,-37.8333,140.7667,62.28,64,88,7.74,AU,1613260800
221,Shubarshi,48.5872,57.1869,30.65,99,100,7.4,KZ,1613260800
222,Xam Nua,20.4197,104.0439,54.84,92,78,2.26,LA,1613260800
223,Dingle,10.9995,122.6711,78.22,89,100,8.19,PH,1613260800
224,Hasaki,35.7333,140.8333,57.27,74,75,12.48,JP,1613260800
225,Notsé,6.95,1.1667,82.71,68,2,8.08,TG,1613260800
226,Puerto Peñasco,31.3167,-113.5333,63.99,71,90,18.63,MX,1613260800
227,Vaitape,-16.5167,-151.75,81.82,68,1,4.92,PF,1613260800
228,Alyangula,-13.8483,136.4192,84.61,80,66,5.61,AU,1613260800
229,George Town,5.4112,100.3354,76.26,81,17,6.06,MY,1613260800
230,Ca Mau,9.1769,105.15,74.16,79,88,5.48,VN,1613260800
231,Mendi,-6.1761,143.6513,69.48,79,84,2.66,PG,1613260800
232,Ribeira Grande,38.5167,-28.7,58.05,63,59,26.46,PT,1613260800
233,Verkh-Usugli,52.7,115.1667,-19.46,81,0,2.75,RU,1613260800
234,Oswego,43.4501,-76.1497,17.08,74,95,2.01,US,1613260800
235,Orchard Homes,46.8633,-114.0484,12.58,73,95,3.13,US,1613260800
236,Maningrida,-12.0667,134.2667,83.14,81,36,5.08,AU,1613260800
237,Lorengau,-2.0226,147.2712,83.26,76,99,6.08,PG,1613260800
238,Gornopravdinsk,60.05,69.9,0.68,93,100,5.57,RU,1613260800
239,Vincennes,48.85,2.4333,27.75,68,41,10.31,FR,1613260800
240,Tshikapa,-6.4167,20.8,71.55,89,100,1.34,CD,1613260800
241,Freeport,40.6576,-73.5832,29.21,72,95,15.19,US,1613260800
242,Jumla,29.2747,82.1838,38.7,71,83,3.76,NP,1613260800
243,Goma,-1.6792,29.2228,66.34,71,100,1.77,CD,1613260800
244,Kushima,31.4583,131.2333,62.82,89,67,10.56,JP,1613260800
245,Buraidah,26.326,43.975,65.34,41,5,10.38,SA,1613260800
246,Oddur,4.1213,43.8894,69.58,67,0,16.64,SO,1613260800
247,Ulundi,-28.3352,31.4162,71.31,94,100,1.32,ZA,1613260800
248,Tasiilaq,65.6145,-37.6368,32.79,93,100,30.49,GL,1613260800
249,Sabha,27.0377,14.4283,59.52,33,0,6.73,LY,1613260800
250,Saint-Joseph,-21.3667,55.6167,76.26,74,7,9.08,RE,1613260800
251,Vardø,70.3705,31.1107,28.36,92,100,18.81,NO,1613260800
252,La Santisima Trinidad,-14.8333,-64.9,81.1,80,45,3.15,BO,1613260800
253,Sistranda,63.7256,8.834,35.04,84,83,19.57,NO,1613260800
254,Makakilo City,21.3469,-158.0858,78.6,66,40,13.0,US,1613260800
255,Pevek,69.7008,170.3133,-12.96,88,83,4.07,RU,1613260800
256,Krasne,49.9145,24.6134,23.97,95,87,12.86,UA,1613260800
257,Puerto Carreño,6.189,-67.4859,92.61,39,98,13.82,CO,1613260800
258,Christchurch,-43.5333,172.6333,70.11,69,95,12.77,NZ,1613260800
259,Narsaq,60.9167,-46.05,40.53,54,95,3.76,GL,1613260800
260,Vostok,46.4856,135.8833,20.98,97,100,4.61,RU,1613260800
261,Jaumave,23.4167,-99.3833,54.37,69,69,4.94,MX,1613260800
262,Myatlevo,54.8969,35.6762,4.12,86,100,8.79,RU,1613260800
263,Severo-Kuril'sk,50.6789,156.125,26.24,92,91,9.31,RU,1613260800
264,Zhangye,38.9342,100.4517,29.23,83,1,11.54,CN,1613260800
265,Sumbe,-11.2061,13.8437,76.12,78,0,5.12,AO,1613260800
266,Yārāda,17.65,83.2667,71.71,80,35,3.27,IN,1613260800
267,Nikolskoye,59.7035,30.7861,10.81,95,85,4.25,RU,1613260800
268,Shimanovsk,52.0,127.7,-7.47,90,22,7.99,RU,1613260800
269,Bambous Virieux,-20.3428,57.7575,77.11,87,30,8.77,MU,1613260800
270,Los Llanos de Aridane,28.6585,-17.9182,60.44,72,21,7.96,ES,1613260800
271,Saint-François,46.4154,3.9054,21.65,86,40,3.71,FR,1613260800
272,Bandarbeyla,9.4942,50.8122,73.11,76,1,11.88,SO,1613260800
273,Astoria,46.1879,-123.8313,39.49,93,86,4.12,US,1613260800
274,Vanimo,-2.6741,141.3028,79.88,83,98,3.04,PG,1613260800
275,Tagusao,9.1924,117.8141,78.73,84,93,10.56,PH,1613260800
276,Biak,-0.9131,122.8766,79.9,75,93,3.0,ID,1613260800
277,Tuktoyaktuk,69.4541,-133.0374,-3.32,83,82,4.79,CA,1613260800
278,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,78.01,62,46,4.21,AR,1613260800
279,Härnösand,62.6323,17.9379,27.21,89,50,12.33,SE,1613260800
280,Alofi,-19.0595,-169.9187,83.71,73,6,11.1,NU,1613260800
281,Acapulco de Juárez,16.8634,-99.8901,79.14,64,10,10.16,MX,1613260800
282,Gáldar,28.147,-15.6502,62.55,75,22,11.23,ES,1613260800
283,‘Ewa Beach,21.3156,-158.0072,79.48,65,42,16.93,US,1613260800
284,Ayan,56.45,138.1667,17.58,96,100,8.59,RU,1613260800
285,Calvinia,-31.4707,19.776,61.2,72,10,4.97,ZA,1613260800
286,Oriximiná,-1.7656,-55.8661,79.61,90,90,3.09,BR,1613260800
287,Tuensang,26.2833,94.8333,54.59,69,9,2.82,IN,1613260800
288,Ixtapa,20.7,-105.2,70.3,63,62,4.59,MX,1613260800
289,Turochak,52.2576,87.1224,7.66,92,97,0.98,RU,1613260800
290,Vanavara,60.34,102.2797,-27.02,85,87,0.89,RU,1613260800
291,Boddam,57.4667,-1.7833,34.61,76,87,38.7,GB,1613260800
292,Mercedes,-34.6515,-59.4307,69.13,78,80,4.97,AR,1613260800
293,Galveston,29.3669,-94.9669,45.97,64,94,9.57,US,1613260800
294,Deputatsky,69.3,139.9,-32.17,86,46,2.89,RU,1613260800
295,Namatanai,-3.6667,152.4333,83.37,78,100,4.27,PG,1613260800
296,Novorozhdestvenskaya,45.8619,39.9542,27.61,87,97,23.13,RU,1613260800
297,Ancud,-41.8697,-73.8203,57.43,65,1,5.91,CL,1613260800
298,Tigil',57.8,158.6667,-9.71,84,0,1.92,RU,1613260800
299,San Quintín,30.4833,-115.95,59.97,70,83,16.4,MX,1613260800
300,Padang,-0.9492,100.3543,78.62,84,47,4.72,ID,1613260800
301,Belmonte,-15.8631,-38.8828,76.48,76,4,6.76,BR,1613260800
302,Maryville,35.7565,-83.9705,43.86,90,95,2.64,US,1613260800
303,Beibei,29.8256,106.4339,51.82,94,0,2.35,CN,1613260800
304,Te Karaka,-38.4654,177.8679,81.21,40,16,4.94,NZ,1613260800
305,Porto Santo,33.072,-16.3415,61.54,75,10,4.38,PT,1613260800
306,Cabo San Lucas,22.8909,-109.9124,70.3,64,5,7.23,MX,1613260800
307,Fairbanks,64.8378,-147.7164,7.97,88,1,1.23,US,1613260800
308,Venado Tuerto,-33.7456,-61.9688,67.77,86,18,0.69,AR,1613260800
309,Trairi,-3.2778,-39.2689,80.67,81,0,9.78,BR,1613260800
310,Clyde River,70.4692,-68.5914,-0.35,88,100,7.29,CA,1613260800
311,Lagoa,39.05,-27.9833,57.2,65,58,30.67,PT,1613260800
312,Guerrero Negro,27.9769,-114.0611,61.07,67,94,22.32,MX,1613260800
313,Yerbogachën,61.2767,108.0108,-31.22,84,8,1.39,RU,1613260800
314,Shitkino,56.3703,98.3543,-8.18,90,100,3.27,RU,1613260800
315,Piojó,10.7485,-75.1078,79.48,81,22,9.15,CO,1613260800
316,San Felipe,10.3399,-68.7425,75.45,84,48,5.14,VE,1613260800
317,Partizánske,48.6286,18.3846,22.06,87,0,5.73,SK,1613260800
318,Muzhi,65.3667,64.6667,-29.07,85,12,1.79,RU,1613260800
319,Praia,14.9215,-23.5087,69.66,77,10,16.17,CV,1613260800
320,Pishin,30.5803,66.9961,48.29,44,0,2.51,PK,1613260800
321,Araceli,10.5529,119.9913,79.38,84,90,12.01,PH,1613260800
322,Grindavik,63.8424,-22.4338,40.66,84,95,34.16,IS,1613260800
323,Laguna,38.421,-121.4238,62.69,49,27,3.8,US,1613260800
324,Omboué,-1.5746,9.2618,77.4,88,75,3.71,GA,1613260800
325,Nikki,9.9401,3.2108,77.29,17,0,3.27,BJ,1613260800
326,Bījār,35.8668,47.6051,34.09,80,2,4.65,IR,1613260800
327,Ojinaga,29.5667,-104.4167,59.23,35,11,12.82,MX,1613260800
328,Nishihara,26.1842,127.7558,70.05,87,38,7.02,JP,1613260800
329,Domoni,-12.2569,44.5319,80.8,81,100,9.37,KM,1613260800
330,Lerwick,60.1545,-1.1494,38.48,71,95,35.7,GB,1613260800
331,Mahibadhoo,3.7833,72.9667,80.74,69,8,8.43,MV,1613260800
332,Sítio Novo do Tocantins,-5.5183,-47.4611,79.25,86,58,0.09,BR,1613260800
333,Sehore,23.2,77.0833,63.5,30,0,7.11,IN,1613260800
334,Inverness,57.4791,-4.224,30.42,81,86,2.46,GB,1613260800
335,Wangkui,46.8333,126.5,-6.11,88,72,4.16,CN,1613260800
336,Spring Valley,36.108,-115.245,57.69,34,70,23.87,US,1613260800
337,Sarab,38.6066,44.9883,43.56,58,98,4.38,IR,1613260800
338,Ocós,14.5094,-92.1933,83.39,62,1,11.52,GT,1613260800
339,São Miguel do Araguaia,-13.275,-50.1628,77.0,88,100,3.44,BR,1613260800
340,Marrakesh,31.6315,-8.0083,59.88,63,21,3.02,MA,1613260800
341,Broken Hill,-31.95,141.4333,71.64,49,0,14.61,AU,1613260800
342,Mersing,2.4312,103.8405,77.85,81,100,8.46,MY,1613260800
343,Severomuysk,56.1481,113.4267,-30.77,85,54,3.11,RU,1613260800
344,Assiut,27.181,31.1837,52.86,60,0,5.77,EG,1613260800
345,Pinega,64.7001,43.3936,-6.65,90,100,3.89,RU,1613260800
346,Puerto Princesa City,9.7392,118.7353,78.75,88,95,8.55,PH,1613260800
347,Baiquan,47.5833,126.0833,-6.11,88,0,7.2,CN,1613260800
348,Mandalgovi,45.7625,106.2708,0.63,89,53,8.93,MN,1613260800
349,Ekuvukeni,-28.4675,30.1551,66.45,95,99,1.81,ZA,1613260800
350,Aksarka,66.5606,67.7975,-30.35,85,15,1.19,RU,1613260800
351,Bonavista,48.6499,-53.1147,25.97,90,100,20.51,CA,1613260800
352,Foumban,5.7291,10.9001,67.01,39,97,4.54,CM,1613260800
353,Örnsköldsvik,63.2909,18.7153,21.9,90,59,6.8,SE,1613260800
354,São João da Barra,-21.6403,-41.0511,77.36,84,100,14.88,BR,1613260800
355,Yulara,-25.2406,130.9889,76.62,44,94,19.01,AU,1613260800
356,Guarapari,-20.6667,-40.4975,76.64,82,45,12.84,BR,1613260800
